iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
1960,0.0002024,1.26e-09,2.1068099999999997e-09,1.2390400000000002e-11,1.8662400000000003e-11,3.95641e-11
1970,0.000202,4.568e-10,2.28484e-09,1.26025e-11,1.8576100000000003e-11,3.93129e-11
1980,0.0002,2.245e-09,4.03225e-09,1.24609e-11,1.8404099999999997e-11,3.91876e-11
1990,0.0002001,5.667e-10,2.2467600000000002e-09,1.2390400000000002e-11,1.8147599999999998e-11,3.893760000000001e-11
2000,0.0001982,1.081e-09,4.719690000000001e-09,1.31769e-11,1.8662400000000003e-11,3.8812899999999993e-11
2010,0.0001961,1.18e-09,2.84089e-09,1.26025e-11,1.79776e-11,3.844e-11
2020,0.0001959,2.543e-10,2.71441e-09,1.26025e-11,1.78084e-11,3.844e-11
2030,0.000195,2.36e-09,3.2148900000000003e-09,1.2673599999999999e-11,1.7639999999999997e-11,3.79456e-11
2040,0.0001943,7.022e-10,2.8729600000000004e-09,1.26025e-11,1.7556099999999996e-11,3.782250000000001e-11
2050,0.0001929,6.871e-10,1.6646400000000002e-09,1.24609e-11,1.7472399999999998e-11,3.76996e-11
2060,0.0001922,4.072e-10,2.47009e-09,1.2320099999999999e-11,1.70569e-11,3.721e-11
2070,0.0001914,1.309e-09,3.39889e-09,1.21801e-11,1.6974400000000004e-11,3.70881e-11
2080,0.0001904,8.082e-10,6.51249e-09,1.21801e-11,1.67281e-11,3.6966400000000005e-11
2090,0.0001895,9.261e-10,3.3524099999999996e-09,1.24609e-11,1.6892099999999997e-11,3.6723599999999994e-11
2100,0.0001873,6.652e-10,2.401e-09,1.21801e-11,1.6646399999999998e-11,3.63609e-11
2110,0.0001874,5.031e-10,3.89376e-09,1.2390400000000002e-11,1.65649e-11,3.64816e-11
2120,0.0001853,1.203e-09,7.86769e-09,1.2040899999999999e-11,1.6160399999999997e-11,3.58801e-11
2130,0.0001854,1.945e-09,2.18089e-09,1.2390400000000002e-11,1.6160399999999997e-11,3.58801e-11
